epoch:0 train_acc:11.712 test_acc:18.79 train_loss:3.817703731834431 test_loss:3.3838444057899184 train_top5_correct:32.916 test_top5_correct:46.87
epoch:1 train_acc:20.814 test_acc:26.17 train_loss:3.2167854217617102 test_loss:2.9644739627838135 train_top5_correct:49.93 test_top5_correct:57.43
epoch:2 train_acc:27.358 test_acc:29.81 train_loss:2.86828869626955 test_loss:2.761183509343787 train_top5_correct:58.762 test_top5_correct:61.19
epoch:3 train_acc:31.394 test_acc:32.01 train_loss:2.650955192878118 test_loss:2.7040826731090304 train_top5_correct:63.916 test_top5_correct:63.07
epoch:4 train_acc:35.048 test_acc:35.46 train_loss:2.4789679477281887 test_loss:2.4820863053768494 train_top5_correct:67.662 test_top5_correct:67.8
epoch:5 train_acc:37.874 test_acc:39.23 train_loss:2.3406561408811215 test_loss:2.324498906920228 train_top5_correct:70.732 test_top5_correct:70.92
epoch:6 train_acc:40.762 test_acc:37.79 train_loss:2.2103273658191456 test_loss:2.422924150394488 train_top5_correct:73.32 test_top5_correct:69.13
epoch:7 train_acc:43.482 test_acc:41.76 train_loss:2.1067336575149573 test_loss:2.203723854656461 train_top5_correct:75.43 test_top5_correct:73.49
epoch:8 train_acc:45.23 test_acc:43.82 train_loss:2.0106475709954186 test_loss:2.163828837720654 train_top5_correct:77.168 test_top5_correct:74.76
epoch:9 train_acc:47.158 test_acc:42.77 train_loss:1.9290552657583486 test_loss:2.201732563067086 train_top5_correct:78.9 test_top5_correct:73.66
epoch:10 train_acc:49.042 test_acc:45.57 train_loss:1.8440375175622419 test_loss:2.055367355105243 train_top5_correct:80.494 test_top5_correct:76.31
epoch:11 train_acc:50.444 test_acc:46.03 train_loss:1.781588651640031 test_loss:2.0679519448099257 train_top5_correct:81.77 test_top5_correct:76.36
epoch:12 train_acc:52.38 test_acc:47.39 train_loss:1.7061645557813327 test_loss:1.9870859656152846 train_top5_correct:83.056 test_top5_correct:77.88
epoch:13 train_acc:53.584 test_acc:47.74 train_loss:1.6493393240682304 test_loss:1.9983179705052436 train_top5_correct:83.91 test_top5_correct:77.67
epoch:14 train_acc:55.258 test_acc:47.52 train_loss:1.5815612544184146 test_loss:2.0174276044097126 train_top5_correct:85.034 test_top5_correct:77.31
epoch:15 train_acc:56.914 test_acc:49.31 train_loss:1.5102369160298497 test_loss:1.9410456916953944 train_top5_correct:86.374 test_top5_correct:78.96
epoch:16 train_acc:57.928 test_acc:49.34 train_loss:1.464473977418202 test_loss:1.962329786035079 train_top5_correct:87.04 test_top5_correct:79.13
epoch:17 train_acc:59.436 test_acc:50.03 train_loss:1.4079269490888358 test_loss:1.916267117367515 train_top5_correct:87.968 test_top5_correct:79.16
epoch:18 train_acc:60.7 test_acc:49.65 train_loss:1.3486790378075426 test_loss:1.9706975116005427 train_top5_correct:88.886 test_top5_correct:79.18
epoch:19 train_acc:61.796 test_acc:49.01 train_loss:1.3035076376422288 test_loss:1.9945270139959794 train_top5_correct:89.556 test_top5_correct:78.98
epoch:20 train_acc:63.166 test_acc:50.39 train_loss:1.2510902874000238 test_loss:1.9934243793728985 train_top5_correct:90.166 test_top5_correct:79.53
epoch:21 train_acc:64.414 test_acc:50.8 train_loss:1.2039527748246937 test_loss:1.960009351561341 train_top5_correct:91.042 test_top5_correct:80.11
epoch:22 train_acc:65.798 test_acc:52.3 train_loss:1.1575657972289473 test_loss:1.913043529172487 train_top5_correct:91.68 test_top5_correct:80.06
epoch:23 train_acc:66.864 test_acc:50.48 train_loss:1.1109895898253106 test_loss:1.9784614240066916 train_top5_correct:92.294 test_top5_correct:79.76
epoch:24 train_acc:68.168 test_acc:51.29 train_loss:1.0575303037453185 test_loss:1.9707262229315843 train_top5_correct:93.03 test_top5_correct:80.22
epoch:25 train_acc:69.004 test_acc:52.42 train_loss:1.02054089993772 test_loss:1.9278051611743396 train_top5_correct:93.624 test_top5_correct:81.07
epoch:26 train_acc:70.57 test_acc:51.37 train_loss:0.9712401936426187 test_loss:2.0160583182226253 train_top5_correct:94.316 test_top5_correct:80.64
epoch:27 train_acc:71.72 test_acc:51.73 train_loss:0.9302180543580019 test_loss:2.001264872430246 train_top5_correct:94.594 test_top5_correct:80.61
epoch:28 train_acc:72.316 test_acc:51.01 train_loss:0.8947272797679657 test_loss:2.082931316351589 train_top5_correct:94.944 test_top5_correct:79.85
epoch:29 train_acc:73.818 test_acc:52.25 train_loss:0.8437229955897612 test_loss:2.034442874449718 train_top5_correct:95.566 test_top5_correct:80.64
epoch:30 train_acc:74.808 test_acc:52.62 train_loss:0.8116701396225053 test_loss:2.0395161139814157 train_top5_correct:95.954 test_top5_correct:80.8
epoch:31 train_acc:75.958 test_acc:51.91 train_loss:0.7666855316485286 test_loss:2.1049995135657396 train_top5_correct:96.482 test_top5_correct:80.3
epoch:32 train_acc:77.036 test_acc:52.04 train_loss:0.7345046773743447 test_loss:2.1347741492186922 train_top5_correct:96.81 test_top5_correct:80.51
epoch:33 train_acc:78.176 test_acc:51.98 train_loss:0.6937911444917664 test_loss:2.1566069759900057 train_top5_correct:97.17 test_top5_correct:80.37
epoch:34 train_acc:78.908 test_acc:51.79 train_loss:0.6664217895711474 test_loss:2.1816751775862295 train_top5_correct:97.43 test_top5_correct:80.0
epoch:35 train_acc:79.968 test_acc:51.81 train_loss:0.6289974246031184 test_loss:2.2325063113924823 train_top5_correct:97.69 test_top5_correct:79.94
