epoch:0 train_acc:6.724 test_acc:12.13 train_loss:4.192853242235111 test_loss:3.765482458887221 train_top5_correct:21.464 test_top5_correct:35.5
epoch:1 train_acc:15.106 test_acc:18.97 train_loss:3.5635220608138063 test_loss:3.3600416394728647 train_top5_correct:40.07 test_top5_correct:46.12
epoch:2 train_acc:21.726 test_acc:24.02 train_loss:3.1720033539530568 test_loss:3.0219863607913635 train_top5_correct:51.19 test_top5_correct:55.1
epoch:3 train_acc:27.854 test_acc:30.34 train_loss:2.8370964472251172 test_loss:2.711473857300191 train_top5_correct:59.46 test_top5_correct:62.04
epoch:4 train_acc:32.512 test_acc:35.64 train_loss:2.5975782377335728 test_loss:2.44981833651096 train_top5_correct:65.082 test_top5_correct:68.19
epoch:5 train_acc:36.722 test_acc:39.21 train_loss:2.403028068030277 test_loss:2.2880316142794452 train_top5_correct:69.17 test_top5_correct:71.69
epoch:6 train_acc:40.346 test_acc:41.7 train_loss:2.2291459076849702 test_loss:2.1693466584893724 train_top5_correct:73.144 test_top5_correct:74.27
epoch:7 train_acc:43.378 test_acc:42.07 train_loss:2.0948420854480676 test_loss:2.1763237926024424 train_top5_correct:75.942 test_top5_correct:73.98
epoch:8 train_acc:46.254 test_acc:46.6 train_loss:1.963489691924561 test_loss:1.9813550031637843 train_top5_correct:78.214 test_top5_correct:77.41
epoch:9 train_acc:48.738 test_acc:48.0 train_loss:1.8664326658639152 test_loss:1.9501123428344727 train_top5_correct:80.192 test_top5_correct:78.42
epoch:10 train_acc:51.214 test_acc:46.16 train_loss:1.770995373006367 test_loss:2.039737357368952 train_top5_correct:81.802 test_top5_correct:76.48
epoch:11 train_acc:53.136 test_acc:50.53 train_loss:1.6799947809990106 test_loss:1.8195137223110924 train_top5_correct:83.336 test_top5_correct:80.19
epoch:12 train_acc:55.212 test_acc:51.04 train_loss:1.602119709219774 test_loss:1.8023120994809307 train_top5_correct:84.582 test_top5_correct:80.66
epoch:13 train_acc:56.92 test_acc:52.47 train_loss:1.5212431737529042 test_loss:1.7753116827976854 train_top5_correct:85.842 test_top5_correct:81.69
epoch:14 train_acc:58.248 test_acc:52.73 train_loss:1.4598413254598828 test_loss:1.7589487546606908 train_top5_correct:86.9 test_top5_correct:81.73
epoch:15 train_acc:60.444 test_acc:54.61 train_loss:1.388611322168804 test_loss:1.6670126658451707 train_top5_correct:87.92 test_top5_correct:83.42
epoch:16 train_acc:62.006 test_acc:55.75 train_loss:1.325562612784793 test_loss:1.6347254378886162 train_top5_correct:88.724 test_top5_correct:83.85
epoch:17 train_acc:63.342 test_acc:54.16 train_loss:1.26806752684781 test_loss:1.743639150752297 train_top5_correct:89.728 test_top5_correct:82.26
epoch:18 train_acc:64.532 test_acc:54.26 train_loss:1.2195825390803539 test_loss:1.741436887391006 train_top5_correct:90.46 test_top5_correct:82.42
epoch:19 train_acc:65.96 test_acc:56.67 train_loss:1.167001721956541 test_loss:1.6400481975531276 train_top5_correct:91.058 test_top5_correct:84.03
epoch:20 train_acc:67.034 test_acc:57.54 train_loss:1.118534301248048 test_loss:1.5919774816006045 train_top5_correct:91.752 test_top5_correct:84.7
epoch:21 train_acc:68.346 test_acc:55.46 train_loss:1.0643771734384015 test_loss:1.7209420370150217 train_top5_correct:92.594 test_top5_correct:83.4
epoch:22 train_acc:69.856 test_acc:58.0 train_loss:1.0160544048184934 test_loss:1.607086255580564 train_top5_correct:93.01 test_top5_correct:84.62
epoch:23 train_acc:71.036 test_acc:58.18 train_loss:0.968428256261684 test_loss:1.6102721313887005 train_top5_correct:93.754 test_top5_correct:84.99
epoch:24 train_acc:71.928 test_acc:57.69 train_loss:0.9341382989493172 test_loss:1.6285504751567599 train_top5_correct:94.234 test_top5_correct:84.74
epoch:25 train_acc:73.148 test_acc:57.55 train_loss:0.8858417394520987 test_loss:1.655174433430539 train_top5_correct:94.678 test_top5_correct:84.55
epoch:26 train_acc:74.396 test_acc:57.95 train_loss:0.8508775444591746 test_loss:1.6701160669326782 train_top5_correct:95.112 test_top5_correct:85.12
epoch:27 train_acc:75.44 test_acc:58.23 train_loss:0.8015861963981863 test_loss:1.6546721081190472 train_top5_correct:95.64 test_top5_correct:84.75
epoch:28 train_acc:76.448 test_acc:58.87 train_loss:0.7677109025780807 test_loss:1.6367741596849659 train_top5_correct:96.034 test_top5_correct:85.46
epoch:29 train_acc:77.472 test_acc:59.17 train_loss:0.7291365784147511 test_loss:1.6315430689461623 train_top5_correct:96.368 test_top5_correct:85.21
epoch:30 train_acc:78.502 test_acc:58.8 train_loss:0.6944123604108611 test_loss:1.692593856702877 train_top5_correct:96.832 test_top5_correct:85.59
epoch:31 train_acc:79.182 test_acc:58.39 train_loss:0.6587585976056736 test_loss:1.764844043345391 train_top5_correct:97.222 test_top5_correct:84.31
epoch:32 train_acc:80.452 test_acc:60.09 train_loss:0.6218178751675979 test_loss:1.6557997314235833 train_top5_correct:97.484 test_top5_correct:86.31
epoch:33 train_acc:81.15 test_acc:59.4 train_loss:0.5982919257620106 test_loss:1.7157983131046537 train_top5_correct:97.612 test_top5_correct:85.52
epoch:34 train_acc:82.064 test_acc:60.15 train_loss:0.5661374155212852 test_loss:1.7016846047172063 train_top5_correct:97.916 test_top5_correct:86.09
epoch:35 train_acc:82.958 test_acc:60.17 train_loss:0.5344661827130086 test_loss:1.7188274422778358 train_top5_correct:98.196 test_top5_correct:85.81
epoch:36 train_acc:84.082 test_acc:60.29 train_loss:0.5016709851944233 test_loss:1.7391616030584407 train_top5_correct:98.386 test_top5_correct:85.64
epoch:37 train_acc:84.856 test_acc:60.17 train_loss:0.4759206416280678 test_loss:1.7243509609487992 train_top5_correct:98.606 test_top5_correct:86.05
epoch:38 train_acc:85.762 test_acc:61.02 train_loss:0.44814060979029713 test_loss:1.7184986026981208 train_top5_correct:98.766 test_top5_correct:85.9
epoch:39 train_acc:85.958 test_acc:60.28 train_loss:0.4365672177213537 test_loss:1.8022883360898947 train_top5_correct:98.784 test_top5_correct:85.85
epoch:40 train_acc:86.64 test_acc:61.21 train_loss:0.41156832054447945 test_loss:1.7698604939859124 train_top5_correct:98.976 test_top5_correct:86.14
epoch:41 train_acc:87.656 test_acc:61.67 train_loss:0.3901632403016395 test_loss:1.7628299420392965 train_top5_correct:99.07 test_top5_correct:86.64
