epoch:0 train_acc:15.126 test_acc:21.11 train_loss:3.5920951165201718 test_loss:3.243211999724183 train_top5_correct:39.186 test_top5_correct:50.45
epoch:1 train_acc:29.398 test_acc:30.79 train_loss:2.743442755525984 test_loss:2.740787934653367 train_top5_correct:61.706 test_top5_correct:62.93
epoch:2 train_acc:39.374 test_acc:37.26 train_loss:2.2764766322987158 test_loss:2.3845425587666185 train_top5_correct:72.152 test_top5_correct:70.53
epoch:3 train_acc:46.616 test_acc:44.72 train_loss:1.9657562904040833 test_loss:2.0799964440019827 train_top5_correct:78.4 test_top5_correct:77.05
epoch:4 train_acc:51.318 test_acc:44.91 train_loss:1.7473369001427574 test_loss:2.1547593149957778 train_top5_correct:82.318 test_top5_correct:76.31
epoch:5 train_acc:55.638 test_acc:47.79 train_loss:1.5760035673370751 test_loss:2.1111774157874192 train_top5_correct:85.456 test_top5_correct:77.92
epoch:6 train_acc:59.108 test_acc:53.72 train_loss:1.4340659730574663 test_loss:1.75725941869277 train_top5_correct:87.6 test_top5_correct:82.95
epoch:7 train_acc:62.196 test_acc:53.13 train_loss:1.313724829107904 test_loss:1.7615309169020834 train_top5_correct:89.224 test_top5_correct:83.31
epoch:8 train_acc:64.604 test_acc:57.62 train_loss:1.2232198562768415 test_loss:1.560094308249558 train_top5_correct:90.668 test_top5_correct:85.52
epoch:9 train_acc:67.288 test_acc:58.72 train_loss:1.126042747436582 test_loss:1.5821409874324557 train_top5_correct:91.674 test_top5_correct:85.5
epoch:10 train_acc:69.17 test_acc:58.33 train_loss:1.0483815897151332 test_loss:1.5752489627162112 train_top5_correct:92.802 test_top5_correct:85.86
epoch:11 train_acc:70.548 test_acc:59.23 train_loss:0.9922367700225557 test_loss:1.5625701765470867 train_top5_correct:93.502 test_top5_correct:87.06
epoch:12 train_acc:72.866 test_acc:62.39 train_loss:0.9118431789795761 test_loss:1.357400677626646 train_top5_correct:94.392 test_top5_correct:88.7
epoch:13 train_acc:74.58 test_acc:62.06 train_loss:0.8518062072336826 test_loss:1.3967756893061385 train_top5_correct:95.014 test_top5_correct:88.27
epoch:14 train_acc:76.034 test_acc:64.25 train_loss:0.7941062203453629 test_loss:1.3121631786793093 train_top5_correct:95.664 test_top5_correct:89.61
epoch:15 train_acc:77.444 test_acc:63.69 train_loss:0.7503689279031875 test_loss:1.3840727413756937 train_top5_correct:96.112 test_top5_correct:88.66
epoch:16 train_acc:78.628 test_acc:61.1 train_loss:0.6956957163255842 test_loss:1.5609868191465546 train_top5_correct:96.624 test_top5_correct:87.88
epoch:17 train_acc:80.374 test_acc:62.12 train_loss:0.6455730852263663 test_loss:1.4946695022945162 train_top5_correct:97.138 test_top5_correct:88.01
epoch:18 train_acc:81.396 test_acc:62.97 train_loss:0.5983067422419253 test_loss:1.475529293470745 train_top5_correct:97.648 test_top5_correct:88.51
epoch:19 train_acc:82.868 test_acc:66.37 train_loss:0.5571897889647033 test_loss:1.352481787717795 train_top5_correct:97.902 test_top5_correct:90.08
epoch:20 train_acc:84.106 test_acc:59.86 train_loss:0.5116931764823397 test_loss:1.8140659558622143 train_top5_correct:98.264 test_top5_correct:85.05
epoch:21 train_acc:85.41 test_acc:62.0 train_loss:0.46998664805346435 test_loss:1.6107390243795854 train_top5_correct:98.544 test_top5_correct:88.0
epoch:22 train_acc:86.474 test_acc:65.43 train_loss:0.43417343272425024 test_loss:1.4441364196282398 train_top5_correct:98.788 test_top5_correct:89.48
epoch:23 train_acc:87.798 test_acc:64.76 train_loss:0.3964530714713704 test_loss:1.5072347461422788 train_top5_correct:99.01 test_top5_correct:88.96
epoch:24 train_acc:88.772 test_acc:65.68 train_loss:0.36177840226751456 test_loss:1.4871865722197521 train_top5_correct:99.186 test_top5_correct:89.69
epoch:25 train_acc:89.84 test_acc:67.4 train_loss:0.3301982435652667 test_loss:1.3448629401907135 train_top5_correct:99.37 test_top5_correct:90.14
epoch:26 train_acc:91.072 test_acc:66.7 train_loss:0.29830048402861864 test_loss:1.4266322670103628 train_top5_correct:99.534 test_top5_correct:89.65
epoch:27 train_acc:91.762 test_acc:67.12 train_loss:0.2697366141068661 test_loss:1.3975887283494202 train_top5_correct:99.618 test_top5_correct:90.32
epoch:28 train_acc:92.6 test_acc:67.5 train_loss:0.24434530856969106 test_loss:1.3912262644948838 train_top5_correct:99.736 test_top5_correct:90.75
epoch:29 train_acc:93.312 test_acc:67.64 train_loss:0.2221100511948776 test_loss:1.4322755427300176 train_top5_correct:99.83 test_top5_correct:90.47
epoch:30 train_acc:94.282 test_acc:69.81 train_loss:0.1968115401999725 test_loss:1.3558669603323634 train_top5_correct:99.854 test_top5_correct:90.98
epoch:31 train_acc:94.706 test_acc:66.47 train_loss:0.18257576080463123 test_loss:1.5657436704333825 train_top5_correct:99.906 test_top5_correct:89.41
epoch:32 train_acc:95.248 test_acc:68.26 train_loss:0.1642824153765998 test_loss:1.432297797897194 train_top5_correct:99.904 test_top5_correct:90.96
epoch:33 train_acc:96.042 test_acc:68.7 train_loss:0.14622066958862193 test_loss:1.4268000284327735 train_top5_correct:99.952 test_top5_correct:90.86
epoch:34 train_acc:96.444 test_acc:69.54 train_loss:0.13207262499100716 test_loss:1.3945029559014719 train_top5_correct:99.96 test_top5_correct:91.04
epoch:35 train_acc:96.582 test_acc:69.96 train_loss:0.12508228964284254 test_loss:1.3926850315890735 train_top5_correct:99.974 test_top5_correct:91.67
epoch:36 train_acc:97.044 test_acc:69.82 train_loss:0.10989050565244597 test_loss:1.4566557935521574 train_top5_correct:99.978 test_top5_correct:91.21
epoch:37 train_acc:97.412 test_acc:68.45 train_loss:0.10081938271174955 test_loss:1.5205145199087602 train_top5_correct:99.97 test_top5_correct:90.65
epoch:38 train_acc:97.634 test_acc:69.48 train_loss:0.09449430478884437 test_loss:1.4721085202844837 train_top5_correct:99.984 test_top5_correct:91.12
epoch:39 train_acc:97.914 test_acc:71.24 train_loss:0.08390059113464392 test_loss:1.3893722212767299 train_top5_correct:99.986 test_top5_correct:91.62
epoch:40 train_acc:98.344 test_acc:70.37 train_loss:0.07109563023118717 test_loss:1.415747059296958 train_top5_correct:99.994 test_top5_correct:91.55
epoch:41 train_acc:98.552 test_acc:71.69 train_loss:0.06390005694059155 test_loss:1.3675930847095539 train_top5_correct:99.99 test_top5_correct:91.84
epoch:42 train_acc:98.45 test_acc:69.23 train_loss:0.06620167513542316 test_loss:1.5234363743021517 train_top5_correct:99.994 test_top5_correct:91.08
epoch:43 train_acc:98.654 test_acc:70.94 train_loss:0.06030196605531304 test_loss:1.3993658272525933 train_top5_correct:99.998 test_top5_correct:91.62
epoch:44 train_acc:98.962 test_acc:72.12 train_loss:0.05018073008836383 test_loss:1.2997477507289452 train_top5_correct:99.998 test_top5_correct:92.33
epoch:45 train_acc:99.02 test_acc:71.22 train_loss:0.04728222250119042 test_loss:1.3851908098293255 train_top5_correct:99.996 test_top5_correct:91.85
epoch:46 train_acc:99.252 test_acc:71.35 train_loss:0.04075716719831652 test_loss:1.4373309235029583 train_top5_correct:99.998 test_top5_correct:91.53
epoch:47 train_acc:99.264 test_acc:72.2 train_loss:0.041068750643230914 test_loss:1.3802560786657696 train_top5_correct:99.998 test_top5_correct:91.61
epoch:48 train_acc:99.418 test_acc:72.74 train_loss:0.03433263756077536 test_loss:1.3607222324685206 train_top5_correct:99.996 test_top5_correct:92.14
epoch:49 train_acc:99.394 test_acc:72.29 train_loss:0.03362055985576204 test_loss:1.3521764889548096 train_top5_correct:99.998 test_top5_correct:92.24
epoch:50 train_acc:99.462 test_acc:71.88 train_loss:0.030773937621194382 test_loss:1.3938989148864263 train_top5_correct:100.0 test_top5_correct:91.97
epoch:51 train_acc:99.574 test_acc:72.75 train_loss:0.027889585956130798 test_loss:1.3131437505347818 train_top5_correct:99.998 test_top5_correct:92.51
epoch:52 train_acc:99.526 test_acc:72.96 train_loss:0.02781966193090848 test_loss:1.3275793066507653 train_top5_correct:100.0 test_top5_correct:92.44
epoch:53 train_acc:99.626 test_acc:72.42 train_loss:0.024535164892044672 test_loss:1.3633236719083182 train_top5_correct:100.0 test_top5_correct:92.07
epoch:54 train_acc:99.734 test_acc:73.11 train_loss:0.020608106678080225 test_loss:1.3130642432200759 train_top5_correct:100.0 test_top5_correct:92.74
epoch:55 train_acc:99.77 test_acc:72.83 train_loss:0.019313401790321483 test_loss:1.3561741128752502 train_top5_correct:100.0 test_top5_correct:92.38
epoch:56 train_acc:99.788 test_acc:73.13 train_loss:0.017198822121648 test_loss:1.3668133895608443 train_top5_correct:99.998 test_top5_correct:92.29
epoch:57 train_acc:99.832 test_acc:73.5 train_loss:0.016343703660208857 test_loss:1.305598523043379 train_top5_correct:100.0 test_top5_correct:92.46
epoch:58 train_acc:99.846 test_acc:73.72 train_loss:0.014637295172199645 test_loss:1.2956388426732413 train_top5_correct:100.0 test_top5_correct:92.79
epoch:59 train_acc:99.872 test_acc:73.57 train_loss:0.013387746926721024 test_loss:1.3013635526729534 train_top5_correct:100.0 test_top5_correct:93.03
epoch:60 train_acc:99.906 test_acc:73.7 train_loss:0.011466409719270437 test_loss:1.2886403776422333 train_top5_correct:100.0 test_top5_correct:92.58
epoch:61 train_acc:99.902 test_acc:73.67 train_loss:0.010968131742075733 test_loss:1.289218527606771 train_top5_correct:99.996 test_top5_correct:92.54
epoch:62 train_acc:99.882 test_acc:73.6 train_loss:0.011785259723420377 test_loss:1.2979747788815559 train_top5_correct:99.998 test_top5_correct:92.61
epoch:63 train_acc:99.878 test_acc:72.99 train_loss:0.012052552765616408 test_loss:1.3557304174085207 train_top5_correct:99.998 test_top5_correct:92.26
epoch:64 train_acc:99.876 test_acc:73.98 train_loss:0.01142857630994371 test_loss:1.29244651975511 train_top5_correct:100.0 test_top5_correct:92.57
epoch:65 train_acc:99.928 test_acc:74.23 train_loss:0.009524132348978153 test_loss:1.286518412300303 train_top5_correct:100.0 test_top5_correct:92.73
epoch:66 train_acc:99.92 test_acc:74.14 train_loss:0.010167753201244814 test_loss:1.2792664539964893 train_top5_correct:100.0 test_top5_correct:92.84
epoch:67 train_acc:99.94 test_acc:74.44 train_loss:0.009213362541168814 test_loss:1.2636320689056493 train_top5_correct:100.0 test_top5_correct:92.96
epoch:68 train_acc:99.95 test_acc:74.33 train_loss:0.00753282234572884 test_loss:1.258034504667113 train_top5_correct:100.0 test_top5_correct:92.94
epoch:69 train_acc:99.944 test_acc:74.25 train_loss:0.007899069788810961 test_loss:1.269600592836549 train_top5_correct:100.0 test_top5_correct:92.83
epoch:70 train_acc:99.934 test_acc:74.11 train_loss:0.007258100592343094 test_loss:1.264107688318325 train_top5_correct:100.0 test_top5_correct:92.71
epoch:71 train_acc:99.924 test_acc:74.47 train_loss:0.008712652766400628 test_loss:1.2579421914076503 train_top5_correct:99.998 test_top5_correct:92.66
epoch:72 train_acc:99.946 test_acc:74.2 train_loss:0.007485556643684883 test_loss:1.261373983153814 train_top5_correct:100.0 test_top5_correct:92.52
epoch:73 train_acc:99.97 test_acc:74.5 train_loss:0.006199454430781324 test_loss:1.2519155348403543 train_top5_correct:100.0 test_top5_correct:92.94
epoch:74 train_acc:99.954 test_acc:74.8 train_loss:0.006163643960081174 test_loss:1.2336036947709095 train_top5_correct:100.0 test_top5_correct:92.93
epoch:75 train_acc:99.95 test_acc:74.8 train_loss:0.006484637353116708 test_loss:1.2322604203525978 train_top5_correct:99.998 test_top5_correct:92.97
epoch:76 train_acc:99.874 test_acc:73.3 train_loss:0.009879470236547044 test_loss:1.3056273083143597 train_top5_correct:100.0 test_top5_correct:92.44
epoch:77 train_acc:99.904 test_acc:73.65 train_loss:0.009436138371443924 test_loss:1.2870377777497979 train_top5_correct:100.0 test_top5_correct:92.4
epoch:78 train_acc:99.948 test_acc:74.49 train_loss:0.007524871036334111 test_loss:1.2218482524533816 train_top5_correct:100.0 test_top5_correct:92.98
epoch:79 train_acc:99.952 test_acc:74.34 train_loss:0.006856985386613461 test_loss:1.2466410074052932 train_top5_correct:99.998 test_top5_correct:92.84
