epoch:0,train_loss:3.8073,train_acc:11.3780,train_top5_acc:33.9160,test_loss:3.4114,test_acc:18.9300,test_top5_acc:45.8300
epoch:1,train_loss:3.0885,train_acc:22.6940,train_top5_acc:53.4680,test_loss:3.0162,test_acc:26.2200,test_top5_acc:57.4600
epoch:2,train_loss:2.6454,train_acc:31.3660,train_top5_acc:64.0940,test_loss:2.7167,test_acc:30.5300,test_top5_acc:63.6000
epoch:3,train_loss:2.3212,train_acc:38.3600,train_top5_acc:71.5480,test_loss:2.4045,test_acc:37.5100,test_top5_acc:70.0600
epoch:4,train_loss:2.0694,train_acc:43.9380,train_top5_acc:76.6600,test_loss:2.2795,test_acc:40.5000,test_top5_acc:72.6500
epoch:5,train_loss:1.8629,train_acc:48.4180,train_top5_acc:80.4340,test_loss:2.3117,test_acc:42.9100,test_top5_acc:73.9900
epoch:6,train_loss:1.6999,train_acc:52.1640,train_top5_acc:83.0820,test_loss:1.7998,test_acc:50.9000,test_top5_acc:81.1200
epoch:7,train_loss:1.5675,train_acc:55.7500,train_top5_acc:85.3260,test_loss:1.8459,test_acc:50.7200,test_top5_acc:80.3600
epoch:8,train_loss:1.4494,train_acc:58.5080,train_top5_acc:87.2480,test_loss:1.6941,test_acc:54.1900,test_top5_acc:83.5600
epoch:9,train_loss:1.3435,train_acc:61.2680,train_top5_acc:88.7100,test_loss:1.5223,test_acc:57.8500,test_top5_acc:86.0300
epoch:10,train_loss:1.2573,train_acc:63.3340,train_top5_acc:89.9700,test_loss:1.6225,test_acc:56.4700,test_top5_acc:85.1800
epoch:11,train_loss:1.1685,train_acc:65.4900,train_top5_acc:91.2480,test_loss:1.4378,test_acc:59.9300,test_top5_acc:87.0600
epoch:12,train_loss:1.0981,train_acc:67.5680,train_top5_acc:92.2260,test_loss:1.4383,test_acc:60.5300,test_top5_acc:87.6500
epoch:13,train_loss:1.0313,train_acc:69.1180,train_top5_acc:93.0400,test_loss:1.3977,test_acc:61.7700,test_top5_acc:87.8700
epoch:14,train_loss:0.9596,train_acc:70.9540,train_top5_acc:93.8740,test_loss:1.4092,test_acc:62.3400,test_top5_acc:88.0200
epoch:15,train_loss:0.9083,train_acc:72.4260,train_top5_acc:94.6080,test_loss:1.3660,test_acc:63.1700,test_top5_acc:88.8200
epoch:16,train_loss:0.8483,train_acc:74.0740,train_top5_acc:95.2280,test_loss:1.3376,test_acc:64.5700,test_top5_acc:89.4900
epoch:17,train_loss:0.8038,train_acc:75.1920,train_top5_acc:95.7060,test_loss:1.3493,test_acc:63.6100,test_top5_acc:89.7500
epoch:18,train_loss:0.7435,train_acc:76.7980,train_top5_acc:96.3280,test_loss:1.3710,test_acc:64.6400,test_top5_acc:89.7000
epoch:19,train_loss:0.6994,train_acc:77.9480,train_top5_acc:96.7280,test_loss:1.3815,test_acc:64.6900,test_top5_acc:89.3700
epoch:20,train_loss:0.6584,train_acc:79.3000,train_top5_acc:96.9640,test_loss:1.3326,test_acc:65.9400,test_top5_acc:89.9400
epoch:21,train_loss:0.6032,train_acc:80.8280,train_top5_acc:97.6040,test_loss:1.3185,test_acc:65.5700,test_top5_acc:90.3100
epoch:22,train_loss:0.5865,train_acc:81.3860,train_top5_acc:97.6980,test_loss:1.3438,test_acc:65.8800,test_top5_acc:89.8800
epoch:23,train_loss:0.5392,train_acc:82.7640,train_top5_acc:98.1560,test_loss:1.4274,test_acc:66.1700,test_top5_acc:89.7900
epoch:24,train_loss:0.4933,train_acc:83.9820,train_top5_acc:98.4500,test_loss:1.3718,test_acc:67.0400,test_top5_acc:90.4900
epoch:25,train_loss:0.4787,train_acc:84.3520,train_top5_acc:98.5260,test_loss:1.5772,test_acc:65.0900,test_top5_acc:89.0500
epoch:26,train_loss:0.4487,train_acc:85.4620,train_top5_acc:98.8020,test_loss:1.4314,test_acc:66.8300,test_top5_acc:90.5200
epoch:27,train_loss:0.4225,train_acc:86.2080,train_top5_acc:98.9340,test_loss:1.5562,test_acc:65.6300,test_top5_acc:89.4800
epoch:28,train_loss:0.4037,train_acc:86.8060,train_top5_acc:99.0520,test_loss:1.4347,test_acc:66.9200,test_top5_acc:90.1200
epoch:29,train_loss:0.3842,train_acc:87.4800,train_top5_acc:99.1520,test_loss:1.5288,test_acc:65.0800,test_top5_acc:88.9300
epoch:30,train_loss:0.3628,train_acc:88.1360,train_top5_acc:99.2760,test_loss:1.4231,test_acc:68.0600,test_top5_acc:90.5600
