
epoch:0,train_loss:3.7419,train_acc:12.6060,train_top5_acc:35.9280,test_loss:3.3511,test_acc:19.7300,test_top5_acc:48.2400
epoch:1,train_loss:2.9059,train_acc:26.7140,train_top5_acc:58.0260,test_loss:2.6811,test_acc:32.1900,test_top5_acc:63.9300
epoch:2,train_loss:2.4206,train_acc:36.5120,train_top5_acc:69.2080,test_loss:2.5178,test_acc:35.6300,test_top5_acc:67.1900
epoch:3,train_loss:2.1118,train_acc:43.3600,train_top5_acc:75.5760,test_loss:2.1694,test_acc:43.4000,test_top5_acc:74.9500
epoch:4,train_loss:1.9007,train_acc:48.0260,train_top5_acc:79.5180,test_loss:2.0208,test_acc:47.0500,test_top5_acc:76.7000
epoch:5,train_loss:1.7372,train_acc:52.0360,train_top5_acc:82.2940,test_loss:1.8753,test_acc:49.3200,test_top5_acc:79.8800
epoch:6,train_loss:1.5938,train_acc:55.4160,train_top5_acc:84.6740,test_loss:1.6654,test_acc:54.6100,test_top5_acc:83.3000
epoch:7,train_loss:1.4709,train_acc:58.3000,train_top5_acc:86.6660,test_loss:1.6582,test_acc:55.3200,test_top5_acc:83.7600
epoch:8,train_loss:1.3675,train_acc:60.9460,train_top5_acc:88.1280,test_loss:1.5514,test_acc:56.9500,test_top5_acc:85.3500
epoch:9,train_loss:1.2688,train_acc:63.4720,train_top5_acc:89.6280,test_loss:1.5543,test_acc:57.1000,test_top5_acc:85.7800
epoch:10,train_loss:1.1903,train_acc:65.4320,train_top5_acc:90.8640,test_loss:1.5024,test_acc:59.1800,test_top5_acc:86.3400
epoch:11,train_loss:1.1110,train_acc:67.5680,train_top5_acc:91.7980,test_loss:1.4330,test_acc:60.5300,test_top5_acc:87.5500
epoch:12,train_loss:1.0485,train_acc:68.9640,train_top5_acc:92.7380,test_loss:1.4501,test_acc:61.1300,test_top5_acc:87.4100
epoch:13,train_loss:0.9814,train_acc:70.8680,train_top5_acc:93.3720,test_loss:1.4212,test_acc:61.1000,test_top5_acc:87.5000
epoch:14,train_loss:0.9230,train_acc:72.2100,train_top5_acc:94.3520,test_loss:1.3877,test_acc:62.6000,test_top5_acc:88.0700
epoch:15,train_loss:0.8733,train_acc:73.8100,train_top5_acc:94.8220,test_loss:1.3814,test_acc:62.9900,test_top5_acc:88.3900
epoch:16,train_loss:0.8128,train_acc:75.2960,train_top5_acc:95.4340,test_loss:1.4169,test_acc:62.5400,test_top5_acc:88.4800
epoch:17,train_loss:0.7726,train_acc:76.3400,train_top5_acc:95.9420,test_loss:1.4574,test_acc:62.6200,test_top5_acc:88.3500
epoch:18,train_loss:0.7236,train_acc:77.7120,train_top5_acc:96.4520,test_loss:1.3758,test_acc:64.0000,test_top5_acc:88.7600
epoch:19,train_loss:0.6801,train_acc:78.8320,train_top5_acc:96.9340,test_loss:1.4112,test_acc:63.9500,test_top5_acc:88.8200
epoch:20,train_loss:0.6503,train_acc:79.8820,train_top5_acc:97.1460,test_loss:1.4302,test_acc:64.2600,test_top5_acc:88.6400
epoch:21,train_loss:0.6119,train_acc:80.8360,train_top5_acc:97.6120,test_loss:1.4160,test_acc:64.5200,test_top5_acc:88.7000
