epoch:0 train_acc:12.524 test_acc:16.48 train_loss:3.7011839251993868 test_loss:3.481915350201764 train_top5_correct:35.534 test_top5_correct:43.63
epoch:1 train_acc:28.46 test_acc:32.48 train_loss:2.7849271291357174 test_loss:2.775488503371613 train_top5_correct:60.522 test_top5_correct:63.13
epoch:2 train_acc:41.05 test_acc:42.19 train_loss:2.181473634432039 test_loss:2.1899274813977976 train_top5_correct:74.264 test_top5_correct:74.36
epoch:3 train_acc:49.564 test_acc:46.74 train_loss:1.8167879026564187 test_loss:1.9966770983949493 train_top5_correct:81.128 test_top5_correct:77.4
epoch:4 train_acc:55.484 test_acc:51.3 train_loss:1.5745418577852761 test_loss:1.7474585243418246 train_top5_correct:85.436 test_top5_correct:82.24
epoch:5 train_acc:60.402 test_acc:56.59 train_loss:1.3849070549316114 test_loss:1.5560306899155243 train_top5_correct:88.29 test_top5_correct:85.07
epoch:6 train_acc:64.206 test_acc:55.36 train_loss:1.2370245121324155 test_loss:1.6752807731869854 train_top5_correct:90.196 test_top5_correct:84.28
epoch:7 train_acc:67.356 test_acc:60.18 train_loss:1.1104677217390837 test_loss:1.4624499339091628 train_top5_correct:92.044 test_top5_correct:86.68
epoch:8 train_acc:70.256 test_acc:63.25 train_loss:0.9988296989284818 test_loss:1.2940406882310216 train_top5_correct:93.346 test_top5_correct:88.89
epoch:9 train_acc:72.948 test_acc:62.88 train_loss:0.8997508308771626 test_loss:1.325388317621207 train_top5_correct:94.33 test_top5_correct:88.16
epoch:10 train_acc:75.26 test_acc:62.13 train_loss:0.8162458514618447 test_loss:1.4165568080129503 train_top5_correct:95.326 test_top5_correct:88.11
epoch:11 train_acc:77.416 test_acc:62.35 train_loss:0.7299623275199509 test_loss:1.3695008815089358 train_top5_correct:96.314 test_top5_correct:87.65
epoch:12 train_acc:79.664 test_acc:63.24 train_loss:0.6616011873230605 test_loss:1.3150152503689634 train_top5_correct:96.92 test_top5_correct:88.94
epoch:13 train_acc:75.168 test_acc:63.37 train_loss:0.812937879272739 test_loss:1.3196137577672549 train_top5_correct:95.302 test_top5_correct:89.28
epoch:14 train_acc:77.796 test_acc:62.71 train_loss:0.7247759584728104 test_loss:1.3378091228159168 train_top5_correct:96.268 test_top5_correct:88.3
epoch:15 train_acc:79.84 test_acc:63.8 train_loss:0.6533558434232727 test_loss:1.3146036154107203 train_top5_correct:97.016 test_top5_correct:88.81
epoch:16 train_acc:81.41 test_acc:65.35 train_loss:0.593883627363483 test_loss:1.3120337543608267 train_top5_correct:97.492 test_top5_correct:89.75
epoch:17 train_acc:83.16 test_acc:66.16 train_loss:0.5392283641773722 test_loss:1.301464774186098 train_top5_correct:97.94 test_top5_correct:89.68
epoch:18 train_acc:84.838 test_acc:66.34 train_loss:0.47672713991931026 test_loss:1.2924439046956315 train_top5_correct:98.4 test_top5_correct:90.38
epoch:19 train_acc:86.296 test_acc:66.16 train_loss:0.43275380835813637 test_loss:1.3171535141860382 train_top5_correct:98.706 test_top5_correct:89.36
epoch:20 train_acc:87.402 test_acc:65.11 train_loss:0.3902534158028605 test_loss:1.3485021991065786 train_top5_correct:99.052 test_top5_correct:88.85
epoch:21 train_acc:88.668 test_acc:66.43 train_loss:0.35249477945020435 test_loss:1.4337302167204362 train_top5_correct:99.188 test_top5_correct:89.17
epoch:22 train_acc:90.068 test_acc:66.13 train_loss:0.3069322052437936 test_loss:1.4055689558198181 train_top5_correct:99.434 test_top5_correct:90.2
epoch:23 train_acc:90.78 test_acc:66.96 train_loss:0.2854521298766746 test_loss:1.3398605615277834 train_top5_correct:99.522 test_top5_correct:90.11
epoch:24 train_acc:91.634 test_acc:64.77 train_loss:0.2585896105526963 test_loss:1.7066865404949914 train_top5_correct:99.704 test_top5_correct:88.5
epoch:25 train_acc:93.072 test_acc:65.87 train_loss:0.2210451876720809 test_loss:1.5125253094902522 train_top5_correct:99.748 test_top5_correct:89.98
epoch:26 train_acc:92.774 test_acc:66.18 train_loss:0.22176381232945816 test_loss:1.4331563469729847 train_top5_correct:99.742 test_top5_correct:89.42
epoch:27 train_acc:93.342 test_acc:67.96 train_loss:0.20221097092799215 test_loss:1.3799628162685829 train_top5_correct:99.792 test_top5_correct:90.78
epoch:28 train_acc:94.402 test_acc:66.91 train_loss:0.1785252820462217 test_loss:1.500362200073049 train_top5_correct:99.834 test_top5_correct:89.96
epoch:29 train_acc:94.678 test_acc:66.7 train_loss:0.16882672887819503 test_loss:1.561508215680907 train_top5_correct:99.884 test_top5_correct:89.73
epoch:30 train_acc:94.59 test_acc:68.23 train_loss:0.16816765627325952 test_loss:1.4784971460511414 train_top5_correct:99.876 test_top5_correct:90.59
epoch:31 train_acc:95.09 test_acc:66.28 train_loss:0.1539370627868968 test_loss:1.6221480512920814 train_top5_correct:99.908 test_top5_correct:89.38
epoch:32 train_acc:95.508 test_acc:67.6 train_loss:0.14187398567185988 test_loss:1.529463780077198 train_top5_correct:99.922 test_top5_correct:90.08
epoch:33 train_acc:96.02 test_acc:67.91 train_loss:0.12764478383390496 test_loss:1.5283679185034353 train_top5_correct:99.932 test_top5_correct:90.12
epoch:34 train_acc:96.036 test_acc:68.21 train_loss:0.1273062616072195 test_loss:1.4216197804559636 train_top5_correct:99.916 test_top5_correct:90.43
epoch:35 train_acc:96.294 test_acc:68.07 train_loss:0.12128542416045428 test_loss:1.5317896815794934 train_top5_correct:99.928 test_top5_correct:90.24
epoch:36 train_acc:96.958 test_acc:66.62 train_loss:0.101797270276548 test_loss:1.5010000293767904 train_top5_correct:99.948 test_top5_correct:89.44
epoch:37 train_acc:97.2 test_acc:69.05 train_loss:0.09616288745208927 test_loss:1.4629865017118333 train_top5_correct:99.952 test_top5_correct:90.22
epoch:38 train_acc:96.744 test_acc:68.42 train_loss:0.10458006218190083 test_loss:1.5794893789894973 train_top5_correct:99.952 test_top5_correct:90.39
epoch:39 train_acc:96.826 test_acc:66.85 train_loss:0.10560775625393214 test_loss:1.6392333779153945 train_top5_correct:99.93 test_top5_correct:89.53
epoch:40 train_acc:96.926 test_acc:67.7 train_loss:0.09915796055189331 test_loss:1.62200698369666 train_top5_correct:99.972 test_top5_correct:89.73
epoch:41 train_acc:96.95 test_acc:67.1 train_loss:0.10028698514489566 test_loss:1.5586062262329874 train_top5_correct:99.94 test_top5_correct:90.08
epoch:42 train_acc:97.166 test_acc:68.33 train_loss:0.09445985694846991 test_loss:1.5314815783802467 train_top5_correct:99.962 test_top5_correct:90.08
